name;inedible_part
Artichokes;0.60
Asparagus;0.40
Avocados;0.30
Basil;0.10
Beetroots;0.10
Broccoli;0.20
Brussels sprout;0.10
Cabbage;0.20
Carrots;0.10
Cassava;0.10
Cauliflower;0.20
Celeriac;0.10
Celery;0.03
Chesnut;0.50
Chicory;0.20
Chinese or Japanese artichokes;0.10
Coriander;0.10
Cucumbers;0.10
Eggplant;0.10
Endive;0.20
Escaroles;0.40
Fennel;0.20
French bean;0.10
Garlic;0.10
Garden cress;0.20
Garden peas;0.20
Green Celery;0.03
Green peas;0.00
Jerusalemen artichoke;0.10
Leek;0.20
Lettuce;0.40
Mint;0.10
Mushroom;0.10
Olives;0.50
Onions;0.10
Parsley;0.10
Peppers;0.03
Potatoes;0.10
Pumpkin;0.20
Radish;0.03
Red endive;0.20
Salad;0.40
Salsify;0.20
Shallot;0.10
Spinach;0.03
Sweet potatoes or Yams;0.10
Tarragon;0.20
Tomatoes;0.03
Turnips;0.20
Almonds;0.50
Apple;0.10
Apricot;0.20
Banana;0.30
Blackberries;0.03
Blueberries;0.03
Cherry;0.20
Currant;0.20
Grapefruit;0.30
Pomelos;0.30
Lemon;0.30
Mandarin;0.20
Mango;0.20
Melon;0.40
Orange;0.20
Peach;0.20
Pear;0.10
Pineapple;0.50
Plum;0.20
Pomegranate;0.20
Raspberries;0.03
Strawberries;0.03
Table grape;0.10
Grape;0.10
Walnuts;0.50
Egg;0.10
Alaska pollock;0.64
Albacore;0.40
American bass;0.56
American or Canadian sea scallop;0.86
Anchovy;0.50
Anglerfish;0.64
Arctic char;0.50
Atlantic bass;0.56
Atlantic chub mackerel;0.48
Atlantic halibut;0.40
Atlantic herring;0.50
American or Canadian See scallop;0.86
Bigeye scad;0.48
Big-scale sand smelt;0.50
Black seabream;0.58
Blackspot seabream;0.58
Blue grenadier;0.60
Blue ling;0.64
Blue shark;0.64
Bogue;0.50
Bonito;0.40
Brown bullhead;0.56
Brown meagre;0.40
Capelin;0.40
Carp;0.50
Cod;0.64
Common dab;0.64
Common dentex;0.64
Common sole;0.58
Conger  ;0.64
Crevalle jack;0.40
European bass;0.56
European hake;0.60
European perch;0.50
European pilchard or sardine;0.50
European plaice;0.64
European sprat;0.50
Freshwater bream;0.56
Garfish;0.50
Gilthead seabream;0.56
Golden redfish;0.64
Greenland halibut;0.64
Grenadier;0.64
Grouper;0.40
Haddock;0.64
Hake;0.60
Horse mackerel;0.48
John dory;0.64
Largehead hairtail;0.64
Lemon sole;0.64
Ling;0.64
Mackerel;0.48
Mediterranean bass;0.56
Megrim;0.64
Mussels;0.75
Mullet;0.64
Nile perch;0.50
Norway lobster;0.69
Nursehound or lesser spotted dogfish;0.64
Pangasius;0.56
Peru sea scallop, without coral;0.86
Pollack;0.64
Pond smelt;0.50
Pouting;0.64
Rainbow trout;0.50
Ray;0.64
Red gurnard;0.58
Roundnose grenadier ;0.64
Saithe;0.64
Salema;0.58
Salmon;0.50
Salmon trout;0.50
Scallop;0.86
Sea trout;0.50
Shallow-water Cape hake;0.60
Shark;0.64
Shrimp;0.55
Skipjack tuna;0.40
Snapper;0.40
Spiny scorpionfish;0.64
Spotted wolffish;0.64
Squid;0.64
Surmullet or red mullet ;0.58
Swordfish;0.40
Tonguesole;0.58
Trout;0.50
Tub gurnard;0.64
Tuna;0.40
Turbot;0.56
Whiting;0.64
Yellowfin tuna;0.40
