name,transportCooling
fresh vegetable,always
canned vegetable,none
frozen vegetable,always
dried vegetable,none
jarred vegetable,none
fresh fruit,always
canned fruit,none
frozen fruit,always
dried fruit,none
jam,none
compote,none
fresh meat,always
frozen meat,always
dried meat,none
deli meat,always
canned meat,none
fresh fish,always
frozen fish,always
canned fish,none
smoked fish,always
dried fish,none
seafood,always
crustacean,always
fresh milk,always
UHT milk,none
cheese,always
yogurt,always
butter,always
fresh cream,always
milk powder,none
cereal,none
flour,none
bread,none
pasta,none
rice,none
semolina,none
nut,none
seed,none
oil,none
peanut butter,none
spice,none
aromatic herb,none
sauce,none
vinegar,none
mustard,none
salt,none
sugar,none
egg,always
egg powder,none
