route,ordered_route,road,sea,air
IN-TR,IN-TR,4528.0,6601.0,4531
TR-IN,IN-TR,4528.0,6601.0,4531
IN-TN,IN-TN,,8049.0,6806
TN-IN,IN-TN,,8049.0,6806
IN-PT,IN-PT,8195.0,10136.0,8207
PT-IN,IN-PT,8195.0,10136.0,8207
IN-FR,FR-IN,7281.0,11961.0,7291
FR-IN,FR-IN,7281.0,11961.0,7291
IN-ES,ES-IN,7848.0,11311.0,7860
ES-IN,ES-IN,7848.0,11311.0,7860
IN-CN,CN-IN,3209.0,11274.0,3210
CN-IN,CN-IN,3209.0,11274.0,3210
IN-BD,BD-IN,1411.0,4139.0,1413
BD-IN,BD-IN,1411.0,4139.0,1413
IN-VN,IN-VN,3095.0,,3099
VN-IN,IN-VN,3095.0,,3099
IN-MA,IN-MA,,9793.0,8132
MA-IN,IN-MA,,9793.0,8132
IN-MM,IN-MM,2190.0,4625.0,2193
MM-IN,IN-MM,2190.0,4625.0,2193
IN-KH,IN-KH,3080.0,6020.0,3083
KH-IN,IN-KH,3080.0,6020.0,3083
IN-PK,IN-PK,1316.0,,1313
PK-IN,IN-PK,1316.0,,1313
IN-DE,DE-IN,6765.0,12651.0,6772
DE-IN,DE-IN,6765.0,12651.0,6772
TR-TN,TN-TR,,2276.0,2386
TN-TR,TN-TR,,2276.0,2386
TR-PT,PT-TR,3667.0,4284.0,3676
PT-TR,PT-TR,3667.0,4284.0,3676
TR-FR,FR-TR,2793.0,6108.0,2799
FR-TR,FR-TR,2793.0,6108.0,2799
TR-ES,ES-TR,3321.0,5458.0,3329
ES-TR,ES-TR,3321.0,5458.0,3329
TR-CN,CN-TR,6076.0,16189.0,6090
CN-TR,CN-TR,6076.0,16189.0,6090
TR-BD,BD-TR,5388.0,9090.0,5397
BD-TR,BD-TR,5388.0,9090.0,5397
TR-VN,TR-VN,7269.0,11759.0,7278
VN-TR,TR-VN,7269.0,11759.0,7278
TR-MA,MA-TR,,3941.0,3681
MA-TR,MA-TR,,3941.0,3681
TR-MM,MM-TR,6199.0,9576.0,6208
MM-TR,MM-TR,6199.0,9576.0,6208
TR-KH,KH-TR,7382.0,10934.0,7389
KH-TR,KH-TR,7382.0,10934.0,7389
TR-PK,PK-TR,3337.0,7423.0,3342
PK-TR,PK-TR,3337.0,7423.0,3342
TR-DE,DE-TR,2421.0,6799.0,2426
DE-TR,DE-TR,2421.0,6799.0,2426
TN-PT,PT-TN,,2519.0,1633
PT-TN,PT-TN,,2519.0,1633
TN-FR,FR-TN,,4344.0,1459
FR-TN,FR-TN,,4344.0,1459
TN-ES,ES-TN,,3694.0,1333
ES-TN,ES-TN,,3694.0,1333
TN-CN,CN-TN,,17637.0,8417
CN-TN,CN-TN,,17637.0,8417
TN-BD,BD-TN,,10538.0,7771
BD-TN,BD-TN,,10538.0,7771
TN-VN,TN-VN,,13207.0,9658
VN-TN,TN-VN,,13207.0,9658
TN-MA,MA-TN,1323.0,2176.0,1326
MA-TN,MA-TN,1323.0,2176.0,1326
TN-MM,MM-TN,,11024.0,8590
MM-TN,MM-TN,,11024.0,8590
TN-KH,KH-TN,,12382.0,9757
KH-TN,KH-TN,,12382.0,9757
TN-PK,PK-TN,,8871.0,5696
PK-TN,PK-TN,,8871.0,5696
TN-DE,DE-TN,,5034.0,1888
DE-TN,DE-TN,,5034.0,1888
PT-FR,FR-PT,1089.0,2187.0,1090
FR-PT,FR-PT,1089.0,2187.0,1090
PT-ES,ES-PT,346.0,1537.0,347
ES-PT,ES-PT,346.0,1537.0,347
PT-CN,CN-PT,9255.0,19724.0,9276
CN-PT,CN-PT,9255.0,19724.0,9276
PT-BD,BD-PT,8980.0,12625.0,8996
BD-PT,BD-PT,8980.0,12625.0,8996
PT-VN,PT-VN,10815.0,15294.0,10830
VN-PT,PT-VN,10815.0,15294.0,10830
PT-MA,MA-PT,,716.0,875
MA-PT,MA-PT,,716.0,875
PT-MM,MM-PT,9746.0,13111.0,9763
MM-PT,MM-PT,9746.0,13111.0,9763
PT-KH,KH-PT,10971.0,14470.0,10986
KH-PT,KH-PT,10971.0,14470.0,10986
PT-PK,PK-PT,6984.0,10958.0,6999
PK-PT,PK-PT,6984.0,10958.0,6999
PT-DE,DE-PT,1837.0,2878.0,1839
DE-PT,DE-PT,1837.0,2878.0,1839
FR-ES,ES-FR,826.0,1672.0,826
ES-FR,ES-FR,826.0,1672.0,826
FR-CN,CN-FR,8169.0,21549.0,8189
CN-FR,CN-FR,8169.0,21549.0,8189
FR-BD,BD-FR,7968.0,14450.0,7982
BD-FR,BD-FR,7968.0,14450.0,7982
FR-VN,FR-VN,9773.0,17119.0,9787
VN-FR,FR-VN,9773.0,17119.0,9787
FR-MA,FR-MA,,2541.0,1667
MA-FR,FR-MA,,2541.0,1667
FR-MM,FR-MM,8711.0,14936.0,8725
MM-FR,FR-MM,8711.0,14936.0,8725
FR-KH,FR-KH,9947.0,16294.0,9959
KH-FR,FR-KH,9947.0,16294.0,9959
FR-PK,FR-PK,6026.0,12783.0,6038
PK-FR,FR-PK,6026.0,12783.0,6038
FR-DE,DE-FR,758.0,1391.0,759
DE-FR,DE-FR,758.0,1391.0,759
ES-CN,CN-ES,8955.0,20899.0,8976
CN-ES,CN-ES,8955.0,20899.0,8976
ES-BD,BD-ES,8642.0,13800.0,8658
BD-ES,BD-ES,8642.0,13800.0,8658
ES-VN,ES-VN,10484.0,16469.0,10499
VN-ES,ES-VN,10484.0,16469.0,10499
ES-MA,ES-MA,,1891.0,892
MA-ES,ES-MA,,1891.0,892
ES-MM,ES-MM,9413.0,14286.0,9430
MM-ES,ES-MM,9413.0,14286.0,9430
ES-KH,ES-KH,10636.0,15644.0,10649
KH-ES,ES-KH,10636.0,15644.0,10649
ES-PK,ES-PK,6640.0,12133.0,6654
PK-ES,ES-PK,6640.0,12133.0,6654
ES-DE,DE-ES,1583.0,2363.0,1585
DE-ES,DE-ES,1583.0,2363.0,1585
CN-BD,BD-CN,1894.0,9244.0,1894
BD-CN,BD-CN,1894.0,9244.0,1894
CN-VN,CN-VN,2115.0,4704.0,2107
VN-CN,CN-VN,2115.0,4704.0,2107
CN-MA,CN-MA,,19381.0,9604
MA-CN,CN-MA,,19381.0,9604
CN-MM,CN-MM,1598.0,9348.0,1594
MM-CN,CN-MM,1598.0,9348.0,1594
CN-KH,CN-KH,2446.0,5771.0,2437
KH-CN,CN-KH,2446.0,5771.0,2437
CN-PK,CN-PK,3312.0,12203.0,3318
PK-CN,CN-PK,3312.0,12203.0,3318
CN-DE,CN-DE,7442.0,22240.0,7460
DE-CN,CN-DE,7442.0,22240.0,7460
BD-VN,BD-VN,1892.0,4815.0,1892
VN-BD,BD-VN,1892.0,4815.0,1892
BD-MA,BD-MA,,12282.0,9077
MA-BD,BD-MA,,12282.0,9077
BD-MM,BD-MM,848.0,1170.0,849
MM-BD,BD-MM,848.0,1170.0,849
BD-KH,BD-KH,1997.0,3990.0,1995
KH-BD,BD-KH,1997.0,3990.0,1995
BD-PK,BD-PK,2087.0,5068.0,2090
PK-BD,BD-PK,2087.0,5068.0,2090
BD-DE,BD-DE,7344.0,15141.0,7356
DE-BD,BD-DE,7344.0,15141.0,7356
VN-MA,MA-VN,,14952.0,10957
MA-VN,MA-VN,,14952.0,10957
VN-MM,MM-VN,1073.0,4918.0,1072
MM-VN,MM-VN,1073.0,4918.0,1072
VN-KH,KH-VN,351.0,1333.0,349
KH-VN,KH-VN,351.0,1333.0,349
VN-PK,PK-VN,3978.0,,3981
PK-VN,PK-VN,3978.0,,3981
VN-DE,DE-VN,9110.0,,9121
DE-VN,DE-VN,9110.0,,9121
MA-MM,MA-MM,,,9886
MM-MA,MA-MM,,,9886
MA-KH,KH-MA,,,11068
KH-MA,KH-MA,,,11068
MA-PK,MA-PK,,,7012
PK-MA,MA-PK,,,7012
MA-DE,DE-MA,,,2403
DE-MA,DE-MA,,,2403
MM-KH,KH-MM,1245.0,4093.0,1242
KH-MM,KH-MM,1245.0,4093.0,1242
MM-PK,MM-PK,2927.0,,2931
PK-MM,MM-PK,2927.0,,2931
MM-DE,DE-MM,8058.0,,8070
DE-MM,DE-MM,8058.0,,8070
KH-PK,KH-PK,4060.0,6949.0,4062
PK-KH,KH-PK,4060.0,6949.0,4062
KH-DE,DE-KH,9301.0,,9310
DE-KH,DE-KH,9301.0,,9310
PK-DE,DE-PK,5476.0,,5486
DE-PK,DE-PK,5476.0,,5486
KH-KH,KH-KH,500.0,0.0,0
VN-VN,VN-VN,500.0,0.0,0
CN-CN,CN-CN,500.0,0.0,0
FR-FR,FR-FR,500.0,0.0,0
PT-PT,PT-PT,500.0,0.0,0
TR-TR,TR-TR,500.0,0.0,0
IN-IN,IN-IN,500.0,0.0,0
PK-PK,PK-PK,500.0,0.0,0
DE-DE,DE-DE,500.0,0.0,0
ES-ES,ES-ES,500.0,0.0,0
TN-TN,TN-TN,500.0,0.0,0
MA-MA,MA-MA,500.0,0.0,0
BD-BD,BD-BD,500.0,0.0,0
MM-MM,MM-MM,500.0,0.0,0
