,name,id,desc,loc,Particulate Matter,Particulate Matter_unit,Climate change,Climate change_unit,Acidification,Acidification_unit,"Ecotoxicity, freshwater","Ecotoxicity, freshwater_unit","Eutrophication, freshwater","Eutrophication, freshwater_unit","Resource use, fossils","Resource use, fossils_unit",Water use,Water use_unit,Eutrophication marine,Eutrophication marine_unit,"Eutrophication, terrestrial ","Eutrophication, terrestrial _unit",Land use,Land use_unit,Ozone depletion,Ozone depletion_unit,"Resource use, minerals and metals","Resource use, minerals and metals_unit",Climate change-Biogenic,Climate change-Biogenic_unit,"Human toxicity, non-cancer","Human toxicity, non-cancer_unit",Photochemical ozone formation - human health,Photochemical ozone formation - human health_unit,"Human toxicity, cancer","Human toxicity, cancer_unit","Ionising radiation, human health","Ionising radiation, human health_unit",Climate change-Fossil,Climate change-Fossil_unit,Climate change-Land use and land use change,Climate change-Land use and land use change_unit
0,"Electricity grid mix 1kV-60kV, consumption mix, to consumer, AC, technology mix, 1kV - 60kV",ff4d447d-8f5d-417a-a215-da593cb99e65,,SK,2.047385518737065e-08,Item(s),0.46331358564971803,kg,0.0024407988988450658,mol,0.02316593684521156,Item(s),9.172834979128284e-07,kg,9.207101427048057,MJ,-0.002601244402776315,m3,0.000298839638080262,kg,0.003147714871826602,mol,3.4374390785794655,Item(s),2.6078778404359713e-12,kg,9.557219792506697e-08,kg,0.000890199808658592,kg,1.2239278946788605e-08,Item(s),0.0009053808601923482,kg,3.5318142368241823e-10,Item(s),0.11727994150971154,kBq,0.46208955823869613,kg,0.00033382760236329886,kg
1,"Electricity grid mix 1kV-60kV, consumption mix, to consumer, AC, technology mix, 1kV - 60kV",fc08b935-804b-464e-b58d-13015120b312,,CA,8.239441086798216e-09,Item(s),0.19336941576277408,kg,0.0011577326123493746,mol,0.12130101407400463,Item(s),2.5885650452272007e-07,kg,3.8484984432125557,MJ,0.07491158185241546,m3,0.00013975189880137648,kg,0.0014976012563406899,mol,0.8956928662297255,Item(s),6.55599129757384e-11,kg,1.0291859031778349e-07,kg,0.00011538675692502342,kg,6.924779991282076e-09,Item(s),0.0004195553253712631,kg,1.1323591686274987e-08,Item(s),0.050613072162131525,kBq,0.1931923358255019,kg,6.169318034716649e-05,kg
2,"Electricity grid mix 1kV-60kV, consumption mix, to consumer, AC, technology mix, 1kV - 60kV",f835dbd6-8271-462c-8e38-1ab2d9183f71,,BG,7.845074521653726e-08,Item(s),0.7386001936084793,kg,0.008082169873287987,mol,0.03701686497579001,Item(s),7.978177003835988e-08,kg,10.813572532175428,MJ,0.11086992195940198,m3,0.0004996801393144422,kg,0.005253701026349682,mol,0.1719810007240783,Item(s),6.641993629568089e-12,kg,1.0351998116012782e-07,kg,2.3800475360037346e-05,kg,2.5846685353544943e-08,Item(s),0.0017247613655070946,kg,6.417833517920396e-10,Item(s),0.09708846287141,kBq,0.7385372738028373,kg,3.911933028205821e-05,kg
3,"Electricity grid mix 1kV-60kV, consumption mix, to consumer, AC, technology mix, 1kV - 60kV",f3a69b46-8e75-48ab-92ed-d4e272ac3044,,KR,7.570388268376282e-09,Item(s),0.6338346741672226,kg,0.0009969171262933358,mol,0.023654392382337932,Item(s),1.194198665990991e-07,kg,10.157066261818507,MJ,0.00022567999495592787,m3,0.0002799674276619312,kg,0.0030377367405089095,mol,0.2562406157184912,Item(s),1.1943078776681508e-10,kg,1.72588123426516e-08,kg,0.0001147337603099907,kg,5.5849097076783266e-09,Item(s),0.000823919991109523,kg,1.085071016454165e-09,Item(s),0.08918259407031656,kBq,0.6336588175785267,kg,6.112282838594185e-05,kg
4,"Electricity grid mix 1kV-60kV, consumption mix, to consumer, AC, technology mix, 1kV - 60kV",e031c290-7902-41e6-9974-383334136a5b,,IT,7.335547297202924e-09,Item(s),0.4837777998199578,kg,0.0008996298988141697,mol,0.014880637943744966,Item(s),1.409263914375983e-06,kg,6.6250765404011585,MJ,0.1439663676341496,m3,0.00020788108696656967,kg,0.0022124115055100254,mol,3.7746299324339,Item(s),4.61507352645959e-11,kg,2.3723825859797827e-07,kg,0.002259579953032171,kg,1.1009401475340052e-09,Item(s),0.0006188406526742672,kg,5.262800188042828e-10,Item(s),0.04445962777455989,kBq,0.480785962485173,kg,0.0007322573817525821,kg
5,"Electricity grid mix 1kV-60kV, consumption mix, to consumer, AC, technology mix, 1kV - 60kV",d846e35f-1d13-4e67-9985-73afd331120f,,ZA,1.4009695745555493e-07,Item(s),1.200369074765656,kg,0.01418010950963871,mol,0.03018668904246084,Item(s),1.2965339613198786e-07,kg,11.935306283434082,MJ,0.12277768535074794,m3,0.0017793859423138403,kg,0.019465320199713542,mol,0.32458353509052246,Item(s),2.2529102132348488e-11,kg,5.531665726173309e-09,kg,3.313306903081632e-05,kg,3.280487798775276e-08,Item(s),0.0053151064695644845,kg,7.415458235298031e-10,Item(s),0.01692128743162409,kBq,1.2002182054854424,kg,0.00011773621118299396,kg
6,"Electricity grid mix 1kV-60kV, consumption mix, to consumer, AC, technology mix, 1kV - 60kV",cd103922-0039-4e74-9bbd-490abf0e1943,,IN,4.4122966005832386e-07,Item(s),1.227377461209525,kg,0.0162201927448268,mol,0.12210782449721216,Item(s),5.772325477148793e-07,kg,12.733155284627166,MJ,0.14520759654345014,m3,0.0017854038252262082,kg,0.019678748102093985,mol,0.5116493239846791,Item(s),1.3525335605582382e-11,kg,5.0202663846815867e-08,kg,0.00020221157942097503,kg,9.205150348663621e-08,Item(s),0.0054986663486448345,kg,1.4845942912682466e-09,Item(s),0.012321470286463684,kBq,1.2259750526618698,kg,0.0012001969682341968,kg
7,"Electricity grid mix 1kV-60kV, consumption mix, to consumer, AC, technology mix, 1kV - 60kV",ccb551d2-6989-47af-a9f0-fd4d1d9d0d90,,JP,8.669686292552008e-09,Item(s),0.6517850890660242,kg,0.0013270562750750234,mol,0.1185211369211783,Item(s),4.052902383583151e-07,kg,8.481387038548297,MJ,0.014164633298906453,m3,0.0003068316338319828,kg,0.0033338578104552927,mol,2.004137457699101,Item(s),6.906640595978429e-12,kg,4.6892751317696335e-08,kg,2.4149932083009576e-05,kg,8.926409769319347e-09,Item(s),0.0009604061025905192,kg,1.0328057788133208e-08,Item(s),0.012465651578442,kBq,0.6516963025009096,kg,6.463663303165086e-05,kg
8,"Electricity grid mix 1kV-60kV, consumption mix, to consumer, AC, technology mix, 1kV - 60kV",b8dc5183-2d07-4377-b5b2-d9374ae5a084,,AU,9.234099139505069e-08,Item(s),0.9454024580266079,kg,0.004869988223784474,mol,0.3435742201371564,Item(s),4.796865527449987e-07,kg,10.583349613566144,MJ,0.34658389984180116,m3,0.0009782620747991301,kg,0.01069336357722374,mol,1.347287932836226,Item(s),9.699506977382396e-14,kg,4.0973834829820245e-08,kg,0.0007015557293599354,kg,2.352565774861694e-08,Item(s),0.0027326505509714847,kg,3.105338772637301e-08,Item(s),0.00015894459511563096,kBq,0.9444473992738993,kg,0.00025350302334863404,kg
9,"Electricity grid mix 1kV-60kV, consumption mix, to consumer, AC, technology mix, 1kV - 60kV",b8d76497-d392-4d90-a2ac-4ee3e2df2946,,ES,1.2331450945800064e-08,Item(s),0.4100006241802029,kg,0.0012951898294698114,mol,0.016657573775229233,Item(s),3.7962185422672627e-07,kg,6.8786026177413895,MJ,0.3074879395801511,m3,0.0002884892696160658,kg,0.003112972418587413,mol,1.329596479390022,Item(s),8.690503814487419e-11,kg,1.5630619970773367e-07,kg,0.000354909944610797,kg,6.738497397452189e-09,Item(s),0.0008566808288712239,kg,3.9796169342755865e-10,Item(s),0.07805390423714674,kBq,0.4095075939021145,kg,0.0001381203334775728,kg
