Catégorie (niveau 1);Catégorie (niveau 2);Catégorie (niveau 3);Procédé;UUID avec espaces;UUID;Changement climatique;heat;electricity per pick per meter;electricity;textile waste
Energie;Electricité;Mix moyen; Mix électrique réseau, TR;6fad8643-de3e-49dd-a48b-8e17b4175c23;6fad8643-de3e-49dd-a48b-8e17b4175c23;0,706988;0;0;0;0
Energie;Electricité;Mix moyen; Mix électrique réseau, TN;f0eb64cd-468d-4f3c-a9a3-3b3661625955;f0eb64cd-468d-4f3c-a9a3-3b3661625955;0,80722;0;0;0;0
Energie;Electricité;Mix moyen; Mix électrique réseau, IN;1b470f5c-6ae6-404d-bd71-8546d33dbc17;1b470f5c-6ae6-404d-bd71-8546d33dbc17;1,58299;0;0;0;0
Energie;Electricité;Mix moyen; Mix électrique réseau, FR;05585055-9742-4fff-81ff-ad2e30e1b791;05585055-9742-4fff-81ff-ad2e30e1b791;0,0813225;0;0;0;0
Energie;Electricité;Mix moyen; Mix électrique réseau, CN;8f923f3d-0bd2-4326-99e2-f984b4454226;8f923f3d-0bd2-4326-99e2-f984b4454226;1,05738;0;0;0;0
Energie;Electricité;Mix moyen; Mix électrique réseau, ES;37301c44-c4cf-4214-a4ac-eee5785ccdc5;37301c44-c4cf-4214-a4ac-eee5785ccdc5;0,467803;0;0;0;0
Energie;Chaleur;Mix moyen; Mix Vapeur (mix technologique|mix de production, en sortie de chaudière), RSA;2e8de6f6-0ea1-455b-adce-ea74d307d222;2e8de6f6-0ea1-455b-adce-ea74d307d222;0,106827;0;0;0;0
Energie;Chaleur;Mix moyen; Mix Vapeur (mix technologique|mix de production, en sortie de chaudière), FR;12fc43f2-a007-423b-a619-619d725793ea;12fc43f2-a007-423b-a619-619d725793ea;0,0854514;0;0;0;0
Energie;Chaleur;Valeur par énergie primaire; Vapeur à partir de gaz naturel (mix de technologies de combustion et d'épuration des effluents gazeux|en sortie de chaudière|Puissance non spécifiée), ES;618440a9-f4aa-65bc-21cb-ea40eee53f3d;618440a9-f4aa-65bc-21cb-ea40eee53f3d;0,0830517;0;0;0;0
Textile;Matières;Matières naturelles; Plume de canard, inventaire agrégé;d1f06ea5-d63f-453a-8f98-55ce78ae7579;d1f06ea5-d63f-453a-8f98-55ce78ae7579;16,238;0;0;0;0
Textile;Matières;Matières naturelles; Fil de soie;94b4b0e1-61e4-4f4d-b9b2-efe7623b0e68;94b4b0e1-61e4-4f4d-b9b2-efe7623b0e68;18,5727;0;0;0;7,79322
Textile;Matières;Matières naturelles; Fil de lin (filasse);e5a6d538-f932-4242-98b4-3a0c6439629c;e5a6d538-f932-4242-98b4-3a0c6439629c;16,7281;0;0;0;0,170215
Textile;Matières;Matières naturelles; Fil de lin (étoupe);fcef1a31-bb18-49e4-bdb6-e53dfe015ba0;fcef1a31-bb18-49e4-bdb6-e53dfe015ba0;15,1829;0;0;0;0,288932
Textile;Matières;Matières naturelles; Fil de laine de mouton Mérinos, inventaire partiellement agrégé;4e035dbf-f48b-4b5a-94ea-0006c713958b;4e035dbf-f48b-4b5a-94ea-0006c713958b;73,8467;0;0;0;0,08696
Textile;Matières;Matières naturelles; Fil de laine de mouton;376bd165-d354-41aa-a6e3-fd3228413bb2;376bd165-d354-41aa-a6e3-fd3228413bb2;80,2769;0;0;0;0,672241
Textile;Matières;Matières naturelles; Fil de laine de chameau;c191a4dd-5080-4eb6-9c59-b13c943327bc;c191a4dd-5080-4eb6-9c59-b13c943327bc;175,102;0;0;0;3,17851
Textile;Matières;Matières naturelles; Fil de jute;72010874-4d26-4c7a-95de-c6987dfdedeb;72010874-4d26-4c7a-95de-c6987dfdedeb;12,9611;0;0;0;0,270519
Textile;Matières;Matières naturelles; Fil de coton conventionnel, inventaire partiellement agrégé;f211bbdb-415c-46fd-be4d-ddf199575b44;f211bbdb-415c-46fd-be4d-ddf199575b44;16,3699;0;0;0;0,201201
Textile;Matières;Matières naturelles; Fil de chanvre;08601439-f338-4f94-ac8c-538061b65d16;08601439-f338-4f94-ac8c-538061b65d16;19,5483;0;0;0;0,221094
Textile;Matières;Matières naturelles; Fil de cachemire;380c0d9c-2840-4390-bd3f-5c960f26f5ed;380c0d9c-2840-4390-bd3f-5c960f26f5ed;385,476;0;0;0;3,17851
Textile;Matières;Matières naturelles; Fil d'angora;29bddef1-d753-45af-9ca6-aec05e2d02b9;29bddef1-d753-45af-9ca6-aec05e2d02b9;45,1782;0;0;0;0,672241
