route,ordered_route,road,sea,air
BD-CN,BD-CN,1894.0,9244,1894
CN-BD,BD-CN,1894.0,9244,1894
BD-DE,BD-DE,7344.0,15141,7356
DE-BD,BD-DE,7344.0,15141,7356
BD-EG,BD-EG,5974.0,8208,5984
EG-BD,BD-EG,5974.0,8208,5984
BD-ES,BD-ES,8642.0,13800,8658
ES-BD,BD-ES,8642.0,13800,8658
BD-ET,BD-ET,,6105,5804
ET-BD,BD-ET,,6105,5804
BD-FR,BD-FR,7968.0,14450,7982
FR-BD,BD-FR,7968.0,14450,7982
BD-GB,BD-GB,7997.0,14313,8011
GB-BD,BD-GB,7997.0,14313,8011
BD-GR,BD-GR,6509.0,9658,6520
GR-BD,BD-GR,6509.0,9658,6520
BD-IN,BD-IN,1411.0,4139,1413
IN-BD,BD-IN,1411.0,4139,1413
BD-IT,BD-IT,7209.0,10617,7221
IT-BD,BD-IT,7209.0,10617,7221
BD-KH,BD-KH,1997.0,3990,1995
KH-BD,BD-KH,1997.0,3990,1995
BD-LK,BD-LK,2120.0,2297,2113
LK-BD,BD-LK,2120.0,2297,2113
BD-MA,BD-MA,,12282,9077
MA-BD,BD-MA,,12282,9077
BD-MM,BD-MM,848.0,1170,849
MM-BD,BD-MM,848.0,1170,849
BD-PK,BD-PK,2087.0,5068,2090
PK-BD,BD-PK,2087.0,5068,2090
BD-PT,BD-PT,8980.0,12625,8996
PT-BD,BD-PT,8980.0,12625,8996
BD-TN,BD-TN,,10538,7771
TN-BD,BD-TN,,10538,7771
BD-TR,BD-TR,5388.0,9090,5397
TR-BD,BD-TR,5388.0,9090,5397
BD-TW,BD-TW,3149.0,6137,3154
TW-BD,BD-TW,3149.0,6137,3154
BD-VN,BD-VN,1892.0,4815,1892
VN-BD,BD-VN,1892.0,4815,1892
CN-DE,CN-DE,7442.0,22240,7460
DE-CN,CN-DE,7442.0,22240,7460
CN-EG,CN-EG,7039.0,15307,7052
EG-CN,CN-EG,7039.0,15307,7052
CN-ES,CN-ES,8955.0,20899,8976
ES-CN,CN-ES,8955.0,20899,8976
CN-ET,CN-ET,,13204,7413
ET-CN,CN-ET,,13204,7413
CN-FR,CN-FR,8169.0,21549,8189
